FECHA,KW-H_PRED
2019-02-04 00:00:00,3655.28
2019-02-04 01:00:00,3566.5237
2019-02-04 02:00:00,3470.6082
2019-02-04 03:00:00,3785.4802
2019-02-04 04:00:00,3741.437
2019-02-04 05:00:00,3720.9531
2019-02-04 06:00:00,3738.577
2019-02-04 07:00:00,3738.16
2019-02-04 08:00:00,4220.569
2019-02-04 09:00:00,4047.119
2019-02-04 10:00:00,3660.0303
2019-02-04 11:00:00,3770.2463
2019-02-04 12:00:00,3778.4866
2019-02-04 13:00:00,3755.9646
2019-02-04 14:00:00,3761.191
2019-02-04 15:00:00,3762.1653
2019-02-04 16:00:00,3955.0637
2019-02-04 17:00:00,4017.9287
2019-02-04 18:00:00,3993.3162
2019-02-04 19:00:00,4002.737
2019-02-04 20:00:00,4201.3306
2019-02-04 21:00:00,4259.3965
2019-02-04 22:00:00,4238.134
2019-02-04 23:00:00,4158.0645
2019-02-05 00:00:00,4094.496
2019-02-05 01:00:00,3833.6587
2019-02-05 02:00:00,3897.064
2019-02-05 03:00:00,3901.3438
2019-02-05 04:00:00,3883.6035
2019-02-05 05:00:00,3882.7595
2019-02-05 06:00:00,3976.2864
2019-02-05 07:00:00,3953.08
2019-02-05 08:00:00,3946.2764
2019-02-05 09:00:00,3949.7744
2019-02-05 10:00:00,3947.6252
2019-02-05 11:00:00,3946.5186
2019-02-05 12:00:00,3946.5652
2019-02-05 13:00:00,4138.872
2019-02-05 14:00:00,4101.5713
2019-02-05 15:00:00,4096.1587
2019-02-05 16:00:00,4109.4297
2019-02-05 17:00:00,4110.396
2019-02-05 18:00:00,4112.699
2019-02-05 19:00:00,4116.384
2019-02-05 20:00:00,4307.885
2019-02-05 21:00:00,4268.146
2019-02-05 22:00:00,4265.415
2019-02-05 23:00:00,4279.1973
2019-02-06 00:00:00,4280.4897
2019-02-06 01:00:00,4095.0442
2019-02-06 02:00:00,3952.2915
2019-02-06 03:00:00,4002.1418
2019-02-06 04:00:00,3995.192
2019-02-06 05:00:00,3983.2002
2019-02-06 06:00:00,3981.6123
2019-02-06 07:00:00,3976.748
2019-02-06 08:00:00,3971.3281
2019-02-06 09:00:00,3967.1052
2019-02-06 10:00:00,3963.4722
2019-02-06 11:00:00,3960.4429
2019-02-06 12:00:00,3957.993
2019-02-06 13:00:00,3955.9622
2019-02-06 14:00:00,3170.8774
2019-02-06 15:00:00,3693.6658
2019-02-06 16:00:00,4039.7625
2019-02-06 17:00:00,3913.365
2019-02-06 18:00:00,3918.043
2019-02-06 19:00:00,3939.0786
2019-02-06 20:00:00,4312.3
2019-02-06 21:00:00,4238.0854
2019-02-06 22:00:00,4229.0166
2019-02-06 23:00:00,4256.125
2019-02-07 00:00:00,3490.2466
2019-02-07 01:00:00,3250.8533
2019-02-07 02:00:00,3333.5166
2019-02-07 03:00:00,3284.9583
2019-02-07 04:00:00,3450.186
2019-02-07 05:00:00,3618.4998
2019-02-07 06:00:00,3770.9788
2019-02-07 07:00:00,3735.303
2019-02-07 08:00:00,3924.2678
2019-02-07 09:00:00,3900.9773
2019-02-07 10:00:00,3891.7915
2019-02-07 11:00:00,3906.5425
2019-02-07 12:00:00,3125.707
2019-02-07 13:00:00,3241.9326
2019-02-07 14:00:00,2866.9927
2019-02-07 15:00:00,2847.262
2019-02-07 16:00:00,2855.2053
2019-02-07 17:00:00,3029.2822
2019-02-07 18:00:00,2816.768
2019-02-07 19:00:00,2708.742
2019-02-07 20:00:00,4075.9958
2019-02-07 21:00:00,3996.3372
2019-02-07 22:00:00,3779.4019
2019-02-07 23:00:00,3666.2393
2019-02-08 00:00:00,2635.9753
2019-02-08 01:00:00,2167.1853
2019-02-08 02:00:00,2228.2915
2019-02-08 03:00:00,2483.3147
2019-02-08 04:00:00,2466.863
2019-02-08 05:00:00,2643.2278
2019-02-08 06:00:00,2655.664
2019-02-08 07:00:00,3014.3228
2019-02-08 08:00:00,3764.718
2019-02-08 09:00:00,3688.5154
2019-02-08 10:00:00,3627.7673
2019-02-08 11:00:00,3074.0867
2019-02-08 12:00:00,2746.6575
2019-02-08 13:00:00,2610.2097
2019-02-08 14:00:00,2612.9578
2019-02-08 15:00:00,2606.5415
2019-02-08 16:00:00,2603.7427
2019-02-08 17:00:00,2606.7932
2019-02-08 18:00:00,2420.2952
2019-02-08 19:00:00,2416.3384
2019-02-08 20:00:00,3475.989
2019-02-08 21:00:00,3557.56
2019-02-08 22:00:00,3451.096
2019-02-08 23:00:00,3479.3955
2019-02-09 00:00:00,2523.2087
2019-02-09 01:00:00,2202.2246
2019-02-09 02:00:00,2264.925
2019-02-09 03:00:00,2251.393
2019-02-09 04:00:00,2242.5122
2019-02-09 05:00:00,2254.6335
2019-02-09 06:00:00,2262.529
2019-02-09 07:00:00,3191.1877
2019-02-09 08:00:00,3212.4622
2019-02-09 09:00:00,3111.5466
2019-02-09 10:00:00,3123.313
2019-02-09 11:00:00,3125.9202
2019-02-09 12:00:00,3117.777
2019-02-09 13:00:00,3118.6553
2019-02-09 14:00:00,2731.1348
2019-02-09 15:00:00,2754.636
2019-02-09 16:00:00,2492.1067
2019-02-09 17:00:00,2390.0862
2019-02-09 18:00:00,2225.813
2019-02-09 19:00:00,2227.5803
2019-02-09 20:00:00,3558.605
2019-02-09 21:00:00,3760.1013
2019-02-09 22:00:00,3622.6462
2019-02-09 23:00:00,3649.071
2019-02-10 00:00:00,2601.2913
2019-02-10 01:00:00,2394.4297
2019-02-10 02:00:00,2459.6904
2019-02-10 03:00:00,2429.9192
2019-02-10 04:00:00,2608.1338
2019-02-10 05:00:00,2619.9248
2019-02-10 06:00:00,2990.6504
2019-02-10 07:00:00,2987.99
2019-02-10 08:00:00,3723.8977
2019-02-10 09:00:00,3683.5757
2019-02-10 10:00:00,3426.271
2019-02-10 11:00:00,3088.7324
2019-02-10 12:00:00,2752.616
2019-02-10 13:00:00,2791.288
2019-02-10 14:00:00,2793.7344
2019-02-10 15:00:00,2681.087
2019-02-10 16:00:00,2589.998
2019-02-10 17:00:00,2600.909
2019-02-10 18:00:00,2603.498
2019-02-10 19:00:00,2598.1519
2019-02-10 20:00:00,3653.2356
2019-02-10 21:00:00,3625.1147
2019-02-10 22:00:00,3529.5615
2019-02-10 23:00:00,3573.51
